time,data,data2,data3,data4
402,31568.0,234.0,345.0,456.0
403,31495.0,234.0,345.0,456.0
404,31598.0,234.0,345.0,456.0
405,30982.0,234.0,345.0,456.0
406,30982.0,234.0,345.0,456.0
407,31258.0,234.0,345.0,456.0
408,31342.0,234.0,345.0,456.0
409,30785.0,234.0,345.0,456.0
410,30948.0,234.0,345.0,456.0
411,30967.0,234.0,345.0,456.0
412,30918.0,234.0,345.0,456.0
413,30529.0,234.0,345.0,456.0
414,30386.0,234.0,345.0,456.0
415,29830.0,234.0,345.0,456.0
416,30096.0,234.0,345.0,456.0
417,30278.0,234.0,345.0,456.0
418,30450.0,234.0,345.0,456.0
419,30421.0,234.0,345.0,456.0
420,30386.0,234.0,345.0,456.0
421,30490.0,234.0,345.0,456.0
422,30510.0,234.0,345.0,456.0
423,30652.0,234.0,345.0,456.0
424,30672.0,234.0,345.0,456.0
425,30495.0,234.0,345.0,456.0
426,30416.0,234.0,345.0,456.0
427,30529.0,234.0,345.0,456.0
428,30342.0,234.0,345.0,456.0
429,30342.0,234.0,345.0,456.0
430,30002.0,234.0,345.0,456.0
431,29973.0,234.0,345.0,456.0
432,29909.0,234.0,345.0,456.0
433,30283.0,234.0,345.0,456.0
434,30303.0,234.0,345.0,456.0
435,30578.0,234.0,345.0,456.0
436,30603.0,234.0,345.0,456.0
437,30618.0,234.0,345.0,456.0
438,30736.0,234.0,345.0,456.0
439,30908.0,234.0,345.0,456.0
440,31406.0,234.0,345.0,456.0
441,31391.0,234.0,345.0,456.0
442,31371.0,234.0,345.0,456.0
443,31396.0,234.0,345.0,456.0
450,31785.0,234.0,345.0,456.0
451,32120.0,234.0,345.0,456.0
452,32326.0,234.0,345.0,456.0
453,32287.0,234.0,345.0,456.0
454,32317.0,234.0,345.0,456.0
455,32386.0,234.0,345.0,456.0
456,32366.0,234.0,345.0,456.0
457,32238.0,234.0,345.0,456.0
458,32410.0,234.0,345.0,456.0
459,32509.0,234.0,345.0,456.0
460,32450.0,234.0,345.0,456.0
461,32474.0,234.0,345.0,456.0
462,32253.0,234.0,345.0,456.0
463,32474.0,234.0,345.0,456.0
464,32572.0,234.0,345.0,456.0
465,32898.0,234.0,345.0,456.0
466,33440.0,234.0,345.0,456.0
467,33322.0,234.0,345.0,456.0
468,33396.0,234.0,345.0,456.0
469,33262.0,234.0,345.0,456.0
470,33228.0,234.0,345.0,456.0
471,33327.0,234.0,345.0,456.0
472,33233.0,234.0,345.0,456.0
473,33144.0,234.0,345.0,456.0
474,32972.0,234.0,345.0,456.0
475,32947.0,234.0,345.0,456.0
476,32745.0,234.0,345.0,456.0
477,32957.0,234.0,345.0,456.0
478,32947.0,234.0,345.0,456.0
479,32804.0,234.0,345.0,456.0
480,32878.0,234.0,345.0,456.0
481,33080.0,234.0,345.0,456.0
482,33021.0,234.0,345.0,456.0
483,33090.0,234.0,345.0,456.0
484,32528.0,234.0,345.0,456.0
485,32617.0,234.0,345.0,456.0
486,32602.0,234.0,345.0,456.0
487,32070.0,234.0,345.0,456.0
488,32060.0,234.0,345.0,456.0
489,32400.0,234.0,345.0,456.0
490,32489.0,234.0,345.0,456.0
491,32025.0,234.0,345.0,456.0
492,31922.0,234.0,345.0,456.0
